SITE,PLOT,BIOMASS,TREATMENT,PACKET,TYPE,SPECIES,ID,FINAL.STATUS
WP,2,C,H,BU,PD,TRAE,3,0
WP,2,C,H,BU,PD,TRAE,4,0
WP,2,C,H,BU,PD,TRAE,5,0
WP,2,C,H,BU,PD,TRAE,6,0
WP,2,C,H,BU,PD,TRAE,7,0
WP,2,C,H,BU,PD,TRAE,8,0
WP,2,C,H,BU,PD,TRAE,9,0
WP,2,C,H,BU,PD,TRAE,10,0
WP,2,C,H,BU,ND,SIALD,1,0
WP,2,C,H,BU,ND,SIALD,2,0
WP,2,C,H,BU,ND,SIALD,3,0
WP,2,C,H,BU,ND,SIALD,4,0
WP,2,C,H,BU,ND,SIALD,5,0
WP,2,C,H,BU,ND,SIALD,6,0
WP,2,C,H,BU,ND,SIALD,7,0
WP,2,C,H,BU,ND,SIALD,8,0
WP,2,C,H,BU,ND,SIALD,9,0
WP,2,C,H,BU,ND,SIALD,10,0
WP,2,C,H,BA,PY,MASY,1,1
WP,2,C,H,BA,PY,MASY,2,1
WP,2,C,H,BA,PY,MASY,3,0
WP,2,C,H,BA,PY,MASY,4,0
WP,2,C,H,BA,PY,MASY,5,0
WP,2,C,H,BA,PY,MASY,6,0
WP,2,C,H,BA,PY,MASY,7,0
WP,2,C,H,BA,PY,MASY,8,0
WP,2,C,H,BA,PY,MASY,9,0
WP,2,C,H,BA,PY,MASY,10,0
WP,2,C,H,BA,PD,TRAE,1,0
WP,2,C,H,BA,PD,TRAE,2,0
WP,2,C,H,BA,PD,TRAE,3,0
WP,2,C,H,BA,PD,TRAE,4,0
WP,2,C,H,BA,PD,TRAE,5,0
WP,2,C,H,BA,PD,TRAE,6,0
WP,2,C,H,BA,PD,TRAE,7,0
WP,2,C,H,BA,PD,TRAE,8,0
WP,2,C,H,BA,PD,TRAE,9,0
WP,2,C,H,BA,PD,TRAE,10,0
WP,2,C,H,BA,ND,SIALD,1,0
WP,2,C,H,BA,ND,SIALD,2,0
WP,2,C,H,BA,ND,SIALD,3,0
WP,2,C,H,BA,ND,SIALD,4,0
WP,2,C,H,BA,ND,SIALD,5,0
WP,2,C,H,BA,ND,SIALD,6,0
WP,2,C,H,BA,ND,SIALD,7,0
WP,2,C,H,BA,ND,SIALD,8,0
WP,2,C,H,BA,ND,SIALD,9,0
WP,2,C,H,BA,ND,SIALD,10,0
WP,2,C,H,AA,PY,MASY,1,1
WP,2,C,H,AA,PY,MASY,2,1
WP,2,C,H,AA,PY,MASY,3,1
WP,2,C,H,AA,PY,MASY,4,1
WP,2,C,H,AA,PY,MASY,5,1
WP,2,C,H,AA,PY,MASY,6,1
WP,2,C,H,AA,PY,MASY,7,0
WP,2,C,H,AA,PY,MASY,8,0
WP,2,C,H,AA,PY,MASY,9,0
WP,2,C,H,AA,PY,MASY,10,0
WP,2,C,H,AA,PD,TRAE,1,0
WP,2,C,H,AA,PD,TRAE,2,0
WP,2,C,H,AA,PD,TRAE,3,0
WP,2,C,H,AA,PD,TRAE,4,0
WP,2,C,H,AA,PD,TRAE,5,0
WP,2,C,H,AA,PD,TRAE,6,0
WP,2,C,H,AA,PD,TRAE,7,0
WP,2,C,H,AA,PD,TRAE,8,0
WP,2,C,H,AA,PD,TRAE,9,0
WP,2,C,H,AA,PD,TRAE,10,0
WP,2,C,H,AA,ND,SIALD,1,1
WP,2,C,H,AA,ND,SIALD,2,1
WP,2,C,H,AA,ND,SIALD,3,1
WP,2,C,H,AA,ND,SIALD,4,1
WP,2,C,H,AA,ND,SIALD,5,1
WP,2,C,H,AA,ND,SIALD,6,1
WP,2,C,H,AA,ND,SIALD,7,1
WP,2,C,H,AA,ND,SIALD,8,1
WP,2,C,H,AA,ND,SIALD,9,1
WP,2,C,H,AA,ND,SIALD,10,1
WP,2,C,H,AT,PY,MASY,1,0
WP,2,C,H,AT,PY,MASY,2,0
WP,2,C,H,AT,PY,MASY,3,0
WP,2,C,H,AT,PY,MASY,4,0
WP,2,C,H,AT,PY,MASY,5,0
WP,2,C,H,AT,PY,MASY,6,0
WP,2,C,H,AT,PY,MASY,7,0
WP,2,C,H,AT,PY,MASY,8,0
WP,2,C,H,AT,PY,MASY,9,0
WP,2,C,H,AT,PY,MASY,10,0
WP,2,C,H,AT,PD,TRAE,1,0
WP,2,C,H,AT,PD,TRAE,2,0
WP,2,C,H,AT,PD,TRAE,3,0
WP,2,C,H,AT,PD,TRAE,4,0
WP,2,C,H,AT,PD,TRAE,5,0
WP,2,C,H,AT,PD,TRAE,6,0
WP,2,C,H,AT,PD,TRAE,7,0
WP,2,C,H,AT,PD,TRAE,8,0
WP,2,C,H,AT,PD,TRAE,9,0
WP,2,C,H,AT,PD,TRAE,10,0
WP,2,C,H,AT,ND,SIALD,1,0
WP,2,C,H,AT,ND,SIALD,2,0
WP,2,C,H,AT,ND,SIALD,3,0
WP,2,C,H,AT,ND,SIALD,4,0
WP,2,C,H,AT,ND,SIALD,5,0
WP,2,C,H,AT,ND,SIALD,6,0
WP,2,C,H,AT,ND,SIALD,7,0
WP,2,C,H,AT,ND,SIALD,8,0
WP,2,C,H,AT,ND,SIALD,9,0
WP,2,C,H,AT,ND,SIALD,10,0
WP,3,M,H,BU,PY,MASY,1,0
WP,3,M,H,BU,PY,MASY,2,0
WP,3,M,H,BU,PY,MASY,3,0
WP,3,M,H,BU,PY,MASY,4,0
WP,3,M,H,BU,PY,MASY,5,0
WP,3,M,H,BU,PY,MASY,6,0
WP,3,M,H,BU,PY,MASY,7,0
WP,3,M,H,BU,PY,MASY,8,0
WP,3,M,H,BU,PY,MASY,9,0
WP,3,M,H,BU,PY,MASY,10,0
WP,3,M,H,BU,PD,TRAE,1,0
WP,3,M,H,BU,PD,TRAE,2,0
WP,3,M,H,BU,PD,TRAE,3,0
WP,3,M,H,BU,PD,TRAE,4,0
WP,3,M,H,BU,PD,TRAE,5,0
WP,3,M,H,BU,PD,TRAE,6,0
WP,3,M,H,BU,PD,TRAE,7,0
WP,3,M,H,BU,PD,TRAE,8,0
WP,3,M,H,BU,PD,TRAE,9,0
WP,3,M,H,BU,PD,TRAE,10,0
WP,3,M,H,BU,ND,SIALD,1,0
WP,3,M,H,BU,ND,SIALD,2,0
WP,3,M,H,BU,ND,SIALD,3,0
WP,3,M,H,BU,ND,SIALD,4,0
WP,3,M,H,BU,ND,SIALD,5,0
WP,3,M,H,BU,ND,SIALD,6,0
WP,3,M,H,BU,ND,SIALD,7,0
WP,3,M,H,BU,ND,SIALD,8,0
WP,3,M,H,BU,ND,SIALD,9,0
WP,3,M,H,BU,ND,SIALD,10,0
WP,3,M,H,BA,PY,MASY,1,1
WP,3,M,H,BA,PY,MASY,2,0
WP,3,M,H,BA,PY,MASY,3,0
WP,3,M,H,BA,PY,MASY,4,0
WP,3,M,H,BA,PY,MASY,5,0
WP,3,M,H,BA,PY,MASY,6,0
WP,3,M,H,BA,PY,MASY,7,0
WP,3,M,H,BA,PY,MASY,8,0
WP,3,M,H,BA,PY,MASY,9,0
WP,3,M,H,BA,PY,MASY,10,0
WP,3,M,H,BA,PD,TRAE,1,1
WP,3,M,H,BA,PD,TRAE,2,1
WP,3,M,H,BA,PD,TRAE,3,0
WP,3,M,H,BA,PD,TRAE,4,0
WP,3,M,H,BA,PD,TRAE,5,0
WP,3,M,H,BA,PD,TRAE,6,0
WP,3,M,H,BA,PD,TRAE,7,0
WP,3,M,H,BA,PD,TRAE,8,0
WP,3,M,H,BA,PD,TRAE,9,0
WP,3,M,H,BA,PD,TRAE,10,0
WP,3,M,H,BA,ND,SIALD,1,0
WP,3,M,H,BA,ND,SIALD,2,0
WP,3,M,H,BA,ND,SIALD,3,0
WP,3,M,H,BA,ND,SIALD,4,0
WP,3,M,H,BA,ND,SIALD,5,0
WP,3,M,H,BA,ND,SIALD,6,0
WP,3,M,H,BA,ND,SIALD,7,0
WP,3,M,H,BA,ND,SIALD,8,0
WP,3,M,H,BA,ND,SIALD,9,0
WP,3,M,H,BA,ND,SIALD,10,0
WP,3,M,H,AA,PY,MASY,1,1
WP,3,M,H,AA,PY,MASY,2,1
WP,3,M,H,AA,PY,MASY,3,1
WP,3,M,H,AA,PY,MASY,4,1
WP,3,M,H,AA,PY,MASY,5,1
WP,3,M,H,AA,PY,MASY,6,1
WP,3,M,H,AA,PY,MASY,7,0
WP,3,M,H,AA,PY,MASY,8,0
WP,3,M,H,AA,PY,MASY,9,0
WP,3,M,H,AA,PY,MASY,10,0
WP,3,M,H,AA,PD,TRAE,1,0
WP,3,M,H,AA,PD,TRAE,2,0
WP,3,M,H,AA,PD,TRAE,3,0
WP,3,M,H,AA,PD,TRAE,4,0
WP,3,M,H,AA,PD,TRAE,5,0
WP,3,M,H,AA,PD,TRAE,6,0
WP,3,M,H,AA,PD,TRAE,7,0
WP,3,M,H,AA,PD,TRAE,8,0
WP,3,M,H,AA,PD,TRAE,9,0
WP,3,M,H,AA,PD,TRAE,10,0
WP,3,M,H,AA,ND,SIALD,1,1
WP,3,M,H,AA,ND,SIALD,2,1
WP,3,M,H,AA,ND,SIALD,3,1
WP,3,M,H,AA,ND,SIALD,4,1
WP,3,M,H,AA,ND,SIALD,5,1
WP,3,M,H,AA,ND,SIALD,6,1
WP,3,M,H,AA,ND,SIALD,7,1
WP,3,M,H,AA,ND,SIALD,8,1
WP,3,M,H,AA,ND,SIALD,9,1
WP,3,M,H,AA,ND,SIALD,10,1
WP,3,M,H,AT,PY,MASY,1,1
WP,3,M,H,AT,PY,MASY,2,0
WP,3,M,H,AT,PY,MASY,3,0
WP,3,M,H,AT,PY,MASY,4,0
WP,3,M,H,AT,PY,MASY,5,0
WP,3,M,H,AT,PY,MASY,6,0
WP,3,M,H,AT,PY,MASY,7,0
WP,3,M,H,AT,PY,MASY,8,0
WP,3,M,H,AT,PY,MASY,9,0
WP,3,M,H,AT,PY,MASY,10,0
WP,3,M,H,AT,PD,TRAE,1,0
WP,3,M,H,AT,PD,TRAE,2,0
WP,3,M,H,AT,PD,TRAE,3,0
WP,3,M,H,AT,PD,TRAE,4,0
WP,3,M,H,AT,PD,TRAE,5,0
WP,3,M,H,AT,PD,TRAE,6,0
WP,3,M,H,AT,PD,TRAE,7,0
WP,3,M,H,AT,PD,TRAE,8,0
WP,3,M,H,AT,PD,TRAE,9,0
WP,3,M,H,AT,PD,TRAE,10,0
WP,3,M,H,AT,ND,SIALD,1,1
WP,3,M,H,AT,ND,SIALD,2,1
WP,3,M,H,AT,ND,SIALD,3,0
WP,3,M,H,AT,ND,SIALD,4,0
WP,3,M,H,AT,ND,SIALD,5,0
WP,3,M,H,AT,ND,SIALD,6,0
WP,3,M,H,AT,ND,SIALD,7,0
WP,3,M,H,AT,ND,SIALD,8,0
WP,3,M,H,AT,ND,SIALD,9,0
WP,3,M,H,AT,ND,SIALD,10,0
WP,4,C,O,BU,PY,MASY,1,0
WP,4,C,O,BU,PY,MASY,2,0
WP,4,C,O,BU,PY,MASY,3,0
WP,4,C,O,BU,PY,MASY,4,0
WP,4,C,O,BU,PY,MASY,5,0
WP,4,C,O,BU,PY,MASY,6,0
WP,4,C,O,BU,PY,MASY,7,0
WP,4,C,O,BU,PY,MASY,8,0
WP,4,C,O,BU,PY,MASY,9,0
WP,4,C,O,BU,PY,MASY,10,0
WP,4,C,O,BU,PD,TRAE,1,1
WP,4,C,O,BU,PD,TRAE,2,NA
WP,4,C,O,BU,PD,TRAE,3,0
WP,4,C,O,BU,PD,TRAE,4,0
WP,4,C,O,BU,PD,TRAE,5,0
WP,4,C,O,BU,PD,TRAE,6,0
WP,4,C,O,BU,PD,TRAE,7,0
WP,4,C,O,BU,PD,TRAE,8,0
WP,4,C,O,BU,PD,TRAE,9,0
WP,4,C,O,BU,PD,TRAE,10,0
WP,4,C,O,BU,ND,SIALD,1,0
WP,4,C,O,BU,ND,SIALD,2,0
WP,4,C,O,BU,ND,SIALD,3,0
WP,4,C,O,BU,ND,SIALD,4,0
WP,4,C,O,BU,ND,SIALD,5,0
WP,4,C,O,BU,ND,SIALD,6,0
WP,4,C,O,BU,ND,SIALD,7,0
WP,4,C,O,BU,ND,SIALD,8,0
WP,4,C,O,BU,ND,SIALD,9,0
WP,4,C,O,BU,ND,SIALD,10,0
WP,4,C,O,BA,PY,MASY,1,0
WP,4,C,O,BA,PY,MASY,2,0
WP,4,C,O,BA,PY,MASY,3,0
WP,4,C,O,BA,PY,MASY,4,0
WP,4,C,O,BA,PY,MASY,5,0
WP,4,C,O,BA,PY,MASY,6,0
WP,4,C,O,BA,PY,MASY,7,0
WP,4,C,O,BA,PY,MASY,8,0
WP,4,C,O,BA,PY,MASY,9,0
WP,4,C,O,BA,PY,MASY,10,0
WP,4,C,O,BA,PD,TRAE,1,0
WP,4,C,O,BA,PD,TRAE,2,0
WP,4,C,O,BA,PD,TRAE,3,0
WP,4,C,O,BA,PD,TRAE,4,0
WP,4,C,O,BA,PD,TRAE,5,0
WP,4,C,O,BA,PD,TRAE,6,0
WP,4,C,O,BA,PD,TRAE,7,0
WP,4,C,O,BA,PD,TRAE,8,0
WP,4,C,O,BA,PD,TRAE,9,0
WP,4,C,O,BA,PD,TRAE,10,0
WP,4,C,O,BA,ND,SIALD,1,0
WP,4,C,O,BA,ND,SIALD,2,0
WP,4,C,O,BA,ND,SIALD,3,0
WP,4,C,O,BA,ND,SIALD,4,0
WP,4,C,O,BA,ND,SIALD,5,0
WP,4,C,O,BA,ND,SIALD,6,0
WP,4,C,O,BA,ND,SIALD,7,0
WP,4,C,O,BA,ND,SIALD,8,0
WP,4,C,O,BA,ND,SIALD,9,0
WP,4,C,O,BA,ND,SIALD,10,0
WP,4,C,O,AA,PY,MASY,1,1
WP,4,C,O,AA,PY,MASY,2,1
WP,4,C,O,AA,PY,MASY,3,1
WP,4,C,O,AA,PY,MASY,4,1
WP,4,C,O,AA,PY,MASY,5,1
WP,4,C,O,AA,PY,MASY,6,1
WP,4,C,O,AA,PY,MASY,7,0
WP,4,C,O,AA,PY,MASY,8,0
WP,4,C,O,AA,PY,MASY,9,0
WP,4,C,O,AA,PY,MASY,10,0
WP,4,C,O,AA,PD,TRAE,1,1
WP,4,C,O,AA,PD,TRAE,2,1
WP,4,C,O,AA,PD,TRAE,3,1
WP,4,C,O,AA,PD,TRAE,4,0
WP,4,C,O,AA,PD,TRAE,5,0
WP,4,C,O,AA,PD,TRAE,6,0
WP,4,C,O,AA,PD,TRAE,7,0
WP,4,C,O,AA,PD,TRAE,8,0
WP,4,C,O,AA,PD,TRAE,9,0
WP,4,C,O,AA,PD,TRAE,10,0
WP,4,C,O,AA,ND,SIALD,1,1
WP,4,C,O,AA,ND,SIALD,2,1
WP,4,C,O,AA,ND,SIALD,3,1
WP,4,C,O,AA,ND,SIALD,4,1
WP,4,C,O,AA,ND,SIALD,5,1
WP,4,C,O,AA,ND,SIALD,6,1
WP,4,C,O,AA,ND,SIALD,7,1
WP,4,C,O,AA,ND,SIALD,8,1
WP,4,C,O,AA,ND,SIALD,9,1
WP,4,C,O,AA,ND,SIALD,10,1
WP,4,C,O,AT,PY,MASY,1,1
WP,4,C,O,AT,PY,MASY,2,1
WP,4,C,O,AT,PY,MASY,3,1
WP,4,C,O,AT,PY,MASY,4,0
WP,4,C,O,AT,PY,MASY,5,0
WP,4,C,O,AT,PY,MASY,6,0
WP,4,C,O,AT,PY,MASY,7,0
WP,4,C,O,AT,PY,MASY,8,0
WP,4,C,O,AT,PY,MASY,9,0
WP,4,C,O,AT,PY,MASY,10,0
WP,4,C,O,AT,PD,TRAE,1,0
WP,4,C,O,AT,PD,TRAE,2,0
WP,4,C,O,AT,PD,TRAE,3,0
WP,4,C,O,AT,PD,TRAE,4,0
WP,4,C,O,AT,PD,TRAE,5,0
WP,4,C,O,AT,PD,TRAE,6,0
WP,4,C,O,AT,PD,TRAE,7,0
WP,4,C,O,AT,PD,TRAE,8,0
WP,4,C,O,AT,PD,TRAE,9,0
WP,4,C,O,AT,PD,TRAE,10,0
WP,4,C,O,AT,ND,SIALD,1,NA
WP,4,C,O,AT,ND,SIALD,2,NA
WP,4,C,O,AT,ND,SIALD,3,NA
WP,4,C,O,AT,ND,SIALD,4,NA
WP,4,C,O,AT,ND,SIALD,5,NA
WP,4,C,O,AT,ND,SIALD,6,NA
WP,4,C,O,AT,ND,SIALD,7,NA
WP,4,C,O,AT,ND,SIALD,8,NA
WP,4,C,O,AT,ND,SIALD,9,NA
WP,4,C,O,AT,ND,SIALD,10,NA
WP,5,C,S,BU,PY,MASY,1,0
WP,5,C,S,BU,PY,MASY,2,0
WP,5,C,S,BU,PY,MASY,3,0
WP,5,C,S,BU,PY,MASY,4,0
WP,5,C,S,BU,PY,MASY,5,0
WP,5,C,S,BU,PY,MASY,6,0
WP,5,C,S,BU,PY,MASY,7,0
WP,5,C,S,BU,PY,MASY,8,0
WP,5,C,S,BU,PY,MASY,9,0
WP,5,C,S,BU,PY,MASY,10,0
WP,5,C,S,BU,PD,TRAE,1,1
WP,5,C,S,BU,PD,TRAE,2,1
WP,5,C,S,BU,PD,TRAE,3,0
WP,5,C,S,BU,PD,TRAE,4,0
WP,5,C,S,BU,PD,TRAE,5,0
WP,5,C,S,BU,PD,TRAE,6,0
WP,5,C,S,BU,PD,TRAE,7,0
WP,5,C,S,BU,PD,TRAE,8,0
WP,5,C,S,BU,PD,TRAE,9,0
WP,5,C,S,BU,PD,TRAE,10,0
WP,5,C,S,BU,ND,SIALD,1,0
WP,5,C,S,BU,ND,SIALD,2,0
WP,5,C,S,BU,ND,SIALD,3,0
WP,5,C,S,BU,ND,SIALD,4,0
WP,5,C,S,BU,ND,SIALD,5,0
WP,5,C,S,BU,ND,SIALD,6,0
WP,5,C,S,BU,ND,SIALD,7,0
WP,5,C,S,BU,ND,SIALD,8,0
WP,5,C,S,BU,ND,SIALD,9,0
WP,5,C,S,BU,ND,SIALD,10,0
WP,5,C,S,BA,PY,MASY,1,1
WP,5,C,S,BA,PY,MASY,2,0
WP,5,C,S,BA,PY,MASY,3,0
WP,5,C,S,BA,PY,MASY,4,0
WP,5,C,S,BA,PY,MASY,5,0
WP,5,C,S,BA,PY,MASY,6,0
WP,5,C,S,BA,PY,MASY,7,0
WP,5,C,S,BA,PY,MASY,8,0
WP,5,C,S,BA,PY,MASY,9,0
WP,5,C,S,BA,PY,MASY,10,0
WP,5,C,S,BA,PD,TRAE,1,1
WP,5,C,S,BA,PD,TRAE,2,0
WP,5,C,S,BA,PD,TRAE,3,0
WP,5,C,S,BA,PD,TRAE,4,0
WP,5,C,S,BA,PD,TRAE,5,0
WP,5,C,S,BA,PD,TRAE,6,0
WP,5,C,S,BA,PD,TRAE,7,0
WP,5,C,S,BA,PD,TRAE,8,0
WP,5,C,S,BA,PD,TRAE,9,0
WP,5,C,S,BA,PD,TRAE,10,0
WP,5,C,S,BA,ND,SIALD,1,1
WP,5,C,S,BA,ND,SIALD,2,1
WP,5,C,S,BA,ND,SIALD,3,0
WP,5,C,S,BA,ND,SIALD,4,0
WP,5,C,S,BA,ND,SIALD,5,0
WP,5,C,S,BA,ND,SIALD,6,0
WP,5,C,S,BA,ND,SIALD,7,0
WP,5,C,S,BA,ND,SIALD,8,0
WP,5,C,S,BA,ND,SIALD,9,0
WP,5,C,S,BA,ND,SIALD,10,0
WP,5,C,S,AA,PY,MASY,1,1
WP,5,C,S,AA,PY,MASY,2,1
WP,5,C,S,AA,PY,MASY,3,1
WP,5,C,S,AA,PY,MASY,4,1
WP,5,C,S,AA,PY,MASY,5,1
WP,5,C,S,AA,PY,MASY,6,0
WP,5,C,S,AA,PY,MASY,7,0
WP,5,C,S,AA,PY,MASY,8,0
WP,5,C,S,AA,PY,MASY,9,0
WP,5,C,S,AA,PY,MASY,10,0
WP,5,C,S,AA,PD,TRAE,1,0
WP,5,C,S,AA,PD,TRAE,2,0
WP,5,C,S,AA,PD,TRAE,3,0
WP,5,C,S,AA,PD,TRAE,4,0
WP,5,C,S,AA,PD,TRAE,5,0
WP,5,C,S,AA,PD,TRAE,6,0
WP,5,C,S,AA,PD,TRAE,7,0
WP,5,C,S,AA,PD,TRAE,8,0
WP,5,C,S,AA,PD,TRAE,9,0
WP,5,C,S,AA,PD,TRAE,10,0
WP,5,C,S,AA,ND,SIALD,1,1
WP,5,C,S,AA,ND,SIALD,2,1
WP,5,C,S,AA,ND,SIALD,3,1
WP,5,C,S,AA,ND,SIALD,4,1
WP,5,C,S,AA,ND,SIALD,5,1
WP,5,C,S,AA,ND,SIALD,6,1
WP,5,C,S,AA,ND,SIALD,7,1
WP,5,C,S,AA,ND,SIALD,8,0
WP,5,C,S,AA,ND,SIALD,9,0
WP,5,C,S,AA,ND,SIALD,10,0
WP,5,C,S,AT,PY,MASY,1,1
WP,5,C,S,AT,PY,MASY,2,0
WP,5,C,S,AT,PY,MASY,3,0
WP,5,C,S,AT,PY,MASY,4,0
WP,5,C,S,AT,PY,MASY,5,0
WP,5,C,S,AT,PY,MASY,6,0
WP,5,C,S,AT,PY,MASY,7,0
WP,5,C,S,AT,PY,MASY,8,0
WP,5,C,S,AT,PY,MASY,9,0
WP,5,C,S,AT,PY,MASY,10,0
WP,5,C,S,AT,PD,TRAE,1,0
WP,5,C,S,AT,PD,TRAE,2,0
WP,5,C,S,AT,PD,TRAE,3,0
WP,5,C,S,AT,PD,TRAE,4,0
WP,5,C,S,AT,PD,TRAE,5,0
WP,5,C,S,AT,PD,TRAE,6,0
